YYYYQ,AGE,BIRTHM,BIRTHY,REGION,SEX,MARRY,NUMKID,NUMADT,EDUC,ECLGRD,EHSGRD,EGRADE
19781,42,10,1935,2,2,1,1,2,3,5,1,13
19782,42,5,1935,2,2,1,1,2,3,5,1,13
19783,44,8,1934,2,1,1,1,2,3,5,1,13
19784,44,10,1934,4,1,1,1,2,3,5,1,13
19791,42,8,1936,4,2,1,1,2,3,5,1,13
19792,42,8,1937,4,2,1,1,2,3,5,1,13
19793,42,8,1936,4,2,1,1,2,3,5,1,13
19794,42,9,1937,4,2,1,1,2,3,5,1,13
19801,42,9,1937,4,2,1,1,2,3,5,1,13
19802,42,1,1937,4,2,1,1,2,3,5,1,13
19803,42,9,1937,4,2,1,1,2,3,5,1,13
19804,43,8,1936,4,2,1,1,2,3,5,1,13
19811,43,7,1937,4,2,1,1,2,3,5,1,13
19812,43,7,1937,4,2,1,1,2,3,5,1,13
19813,43,1,1937,4,2,1,1,2,3,5,1,13
19814,43,10,1938,4,2,1,1,2,3,5,1,13
19821,43,1,1938,2,2,1,1,2,3,5,1,13
19822,43,12,1939,4,2,1,1,2,3,5,1,13
19823,42,10,1939,4,2,1,1,2,3,5,1,13
19824,43,2,1939,4,2,1,1,2,3,5,1,13
19831,42,9,1940,4,2,1,1,2,3,5,1,13
19832,43,8,1939,4,2,1,1,2,3,5,1,13
19833,44,8,1939,4,2,1,1,2,3,5,1,13
19834,43,12,1939,4,2,1,1,2,3,5,1,13
19841,44,8,1939,4,2,1,1,2,3,5,1,13
19842,44,12,1939,4,2,1,1,2,3,5,1,13
19843,43,8,1940,4,2,1,1,2,3,5,1,13
19844,43,7,1940,4,2,1,1,2,3,5,1,13
19851,44,10,1940,4,2,1,1,2,3,5,1,13
19852,44,7,1940,2,2,1,1,2,3,5,1,13
19853,44,10,1940,4,2,1,1,2,3,5,1,13
19854,43,8,1941,4,2,1,1,2,3,5,1,13
19861,43,7,1942,2,2,1,1,2,3,5,1,13
19862,43,8,1942,4,2,1,1,2,3,5,1,13
19863,44,11,1942,2,2,1,1,2,3,5,1,13
19864,44,8,1942,4,2,1,1,2,3,5,1,13
19871,44,12,1942,4,2,1,1,2,3,5,1,13
19872,44,8,1942,4,2,1,1,2,3,5,1,13
19873,44,10,1942,4,2,1,1,2,3,5,1,13
19874,44,3,1943,4,2,1,1,2,3,5,1,13
19881,44,8,1943,4,2,1,1,2,3,5,1,13
19882,44,8,1943,4,2,1,1,2,3,5,1,13
19883,43,8,1944,2,2,1,1,2,3,5,1,13
19884,44,9,1943,4,2,1,1,2,3,5,1,13
19891,44,10,1944,2,2,1,1,2,3,5,1,13
19892,44,3,1945,4,2,1,1,2,3,5,1,13
19893,45,9,1944,4,2,1,1,2,3,5,1,13
19894,44,3,1944,4,2,1,1,2,3,5,1,13
19901,45,9,1944,4,2,1,1,2,3,5,1,13
19902,46,5,1944,4,2,1,1,2,3,5,1,13
19903,44,8,1946,4,2,1,1,2,3,5,1,13
19904,46,6,1944,4,2,1,1,2,3,5,1,13
19911,44,5,1947,4,2,1,1,2,3,5,1,13
19912,45,8,1945,4,2,1,1,2,3,5,1,13
19913,44,7,1947,4,2,1,1,2,3,5,1,13
19914,44,8,1947,4,2,1,1,2,3,5,1,13
19921,44,9,1947,4,2,1,1,2,3,5,1,13
19922,44,9,1948,4,2,1,1,2,3,5,1,13
19923,44,9,1948,4,2,1,1,2,3,5,1,13
19924,44,9,1948,4,2,1,1,2,3,5,1,13
19931,44,10,1948,4,2,1,1,2,3,5,1,14
19932,45,9,1948,4,2,1,1,2,3,5,1,14
19933,45,10,1947,4,2,1,1,2,3,5,1,14
19934,45,2,1948,4,2,1,1,2,3,5,1,14
19941,45,10,1948,4,2,1,1,2,3,5,1,14
19942,45,9,1948,4,2,1,1,2,3,5,1,14
19943,44,9,1949,4,2,1,1,2,3,5,1,14
19944,45,2,1949,4,2,1,1,2,3,5,1,14
19951,45,9,1950,4,2,1,1,2,3,5,1,14
19952,44,10,1950,4,2,1,1,2,3,5,1,14
19953,45,10,1950,4,2,1,1,2,3,5,1,14
19954,45,10,1950,4,2,1,1,2,3,5,1,13
19961,45,6,1950,4,2,1,1,2,3,5,1,14
19962,46,8,1950,4,2,1,1,2,3,5,1,13
19963,45,9,1951,4,2,1,1,2,3,5,1,13
19964,46,8,1950,4,2,1,1,2,3,5,1,13
19971,45,10,1951,4,2,1,1,2,3,5,1,14
19972,46,12,1950,4,2,1,1,2,3,5,1,13
19973,46,1,1951,4,2,1,1,2,3,5,1,14
19974,47,8,1950,4,2,1,1,2,3,5,1,14
19981,47,9,1950,4,2,1,1,2,3,5,1,14
19982,47,8,1951,4,2,1,1,2,3,5,1,14
19983,46,3,1951,4,2,1,1,2,3,5,1,14
19984,46,2,1952,4,2,1,1,2,3,5,1,14
19991,46,2,1953,4,2,1,1,2,3,5,1,14
19992,46,2,1953,4,2,1,1,2,3,5,1,14
19993,46,9,1953,4,2,1,1,2,3,5,1,14
19994,46,1,1953,4,2,1,1,2,3,5,1,14
20001,47,9,1952,4,2,1,1,2,3,5,1,14
20002,47,10,1953,4,2,1,1,2,3,5,1,14
20003,47,7,1952,4,2,1,1,2,3,5,1,14
20004,47,9,1953,4,2,1,1,2,3,5,1,14
20011,48,11,1952,4,2,1,1,2,3,5,1,14
20012,48,8,1953,4,2,1,1,2,3,5,1,14
20013,48,7,1952,4,2,1,1,2,3,5,1,14
20014,48,9,1953,4,2,1,1,2,3,5,1,14
20021,48,12,1953,4,2,1,1,2,3,5,1,14
20022,48,10,1954,4,2,1,1,2,3,5,1,14
20023,48,12,1953,4,2,1,1,2,3,5,1,14
20024,48,10,1954,4,2,1,1,2,3,5,1,14
20031,48,10,1954,4,2,1,1,2,3,5,1,14
20032,48,1,1954,4,2,1,1,2,3,5,1,14
20033,48,3,1954,4,2,1,1,2,3,5,1,14
20034,48,6,1955,4,2,1,1,2,5,5,1,14
20041,49,7,1954,4,2,1,1,2,3,5,1,14
20042,49,7,1954,4,2,1,1,2,4,5,1,14
20043,50,7,1954,4,2,1,1,2,4,5,1,14
20044,50,7,1954,4,2,1,1,2,3,5,1,14
20051,50,7,1954,4,2,1,1,2,4,5,1,14
20052,49,11,1955,4,2,1,1,2,4,5,1,14
20053,51,7,1953,4,2,1,1,2,3,5,1,14
20054,51,8,1954,4,2,1,1,2,4,5,1,14
20061,52,8,1953,4,2,1,1,2,4,5,1,14
20062,52,1,1954,4,2,1,1,2,4,5,1,14
20063,53,9,1953,4,2,1,1,2,4,5,1,14
20064,53,1,1953,4,2,1,1,2,4,5,1,14
20071,52,3,1954,4,2,1,1,2,4,5,1,14
20072,52,9,1954,4,2,1,1,2,4,5,1,14
20073,53,3,1954,4,2,1,1,2,4,5,1,14
20074,53,7,1954,4,2,1,1,2,4,5,1,14
20081,54,10,1954,4,2,1,1,2,4,5,1,14
20082,54,7,1954,4,2,1,1,2,4,5,1,14
20083,53,8,1954,4,2,1,1,2,4,5,1,14
20084,54,8,1954,4,2,1,1,2,4,5,1,14
20091,54,6,1954,4,2,1,1,2,4,5,1,14
20092,55,8,1953,4,2,1,1,2,4,1,1,14
20093,55,3,1954,4,2,1,1,2,4,5,1,14
20094,55,9,1954,4,2,1,1,2,4,1,1,14
20101,55,7,1954,4,2,1,1,2,4,5,1,14
20102,55,3,1954,4,2,1,1,2,4,5,1,14
20103,56,9,1954,4,2,1,1,2,4,5,1,14
20104,55,8,1955,4,2,1,1,2,4,5,1,14
20111,57,9,1953,4,2,1,0,2,4,5,1,14
20112,56,11,1955,4,2,1,0,2,4,1,1,14
20113,57,7,1954,4,2,1,1,2,4,5,1,14
20114,57,11,1954,4,2,1,0,2,4,5,1,14
20121,57,7,1954,4,2,1,0,2,4,5,1,14
20122,58,12,1954,4,2,1,0,2,3,5,1,14
20123,57,10,1955,4,2,1,0,2,4,1,1,14
20124,57,8,1955,4,2,1,0,2,4,5,1,14
20131,56,7,1957,4,2,1,1,2,4,1,1,14
20132,56,8,1956,4,2,1,0,2,4,1,1,14
20133,54,7,1958,4,1,1,1,2,4,1,1,14
20134,56,5,1956,4,1,1,0,2,4,1,1,14
20141,56,10,1957,4,1,1,0,2,4,1,1,15
20142,56,12,1957,4,1,1,0,2,4,1,1,15
20143,55,9,1959,4,1,1,0,2,4,1,1,15
20144,54,10,1960,4,1,1,0,2,4,1,1,15
20151,51,9,1963,4,1,1,1,2,4,1,1,15
20152,50,10,1964,4,1,1,1,2,4,1,1,15
20153,50,8,1965,4,1,1,1,2,4,1,1,14
20154,50,10,1965,4,1,1,1,2,4,1,1,15
20161,50,8,1965,4,1,1,1,2,4,1,1,15
20162,51,8,1965,4,1,1,1,2,4,1,1,15
20163,51,9,1965,4,1,1,1,2,4,1,1,15
20164,50,8,1966,4,1,1,1,2,4,1,1,15
20171,51,10,1965,4,1,1,1,2,4,1,1,15
20172,50,10,1966,4,1,1,1,2,4,1,1,15
20173,51,9,1966,4,1,1,1,2,5,1,1,15
20174,51,3,1966,4,1,1,1,2,5,1,1,15
20181,51,7,1966,4,1,1,1,2,4,1,1,15
20182,52,10,1966,4,1,1,0,2,4,1,1,15
20183,51,12,1966,4,1,1,1,2,4,1,1,15
20184,51,12,1967,4,1,1,1,2,4,1,1,15
20191,52,8,1967,4,1,1,1,2,5,1,1,15
20192,51,12,1967,4,1,1,1,2,5,1,1,15
20193,52,1,1967,4,1,1,1,2,5,1,1,15
20194,52,9,1967,4,1,1,1,2,5,1,1,15
20201,53,7,1967,4,1,1,1,2,5,1,1,15
20202,52,7,1968,4,1,1,1,2,5,1,1,15
20203,52,1,1968,4,1,1,1,2,5,1,1,15
20204,52,7,1968,4,1,1,0,2,5,1,1,15
20211,52,5,1968,4,1,1,1,2,5,1,1,15
20212,51,7,1969,4,1,1,1,2,5,1,1,15
20213,51,12,1969,4,1,1,1,2,5,1,1,15
20214,52,7,1969,4,1,1,1,2,5,1,1,15
20221,51,12,1970,4,1,1,1,2,5,1,1,15
20222,52,7,1970,4,1,1,1,2,5,1,1,15
20223,52,10,1970,4,1,1,1,2,5,1,1,15
20224,52,7,1970,4,1,1,1,2,4,1,1,15
