,YYYYQ,INCOME
0,19781,16150.075414781297
1,19782,16339.388145315488
2,19783,17098.825831702543
3,19784,16923.959068454482
4,19791,17469.533426183843
5,19792,17823.538856775853
6,19793,17742.97885768381
7,19794,18119.860847564833
8,19801,19410.44776119403
9,19802,18834.450747808147
10,19803,19348.11827956989
11,19804,19834.558823529413
12,19811,20265.625
13,19812,21270.17178552837
14,19813,21185.410334346503
15,19814,21278.5501489573
16,19821,21978.649453823236
17,19822,23299.21065614208
18,19823,22591.34134134134
19,19824,22697.50254841998
20,19831,22781.917536015895
21,19832,23894.953905870938
22,19833,22839.132627332325
23,19834,23026.25
24,19841,23266.210739614995
25,19842,23991.470145509284
26,19843,24261.128364389235
27,19844,23457.943925233645
28,19851,24659.81856990395
29,19852,24851.550183920128
30,19853,25094.71718249733
31,19854,24723.844928305894
32,19861,28449.317226890755
33,19862,28918.69481560663
34,19863,32899.3397260274
35,19864,31231.242675511334
36,19871,31870.086570477248
37,19872,33705.873410724154
38,19873,32193.29546726357
39,19874,33027.5
40,19881,34948.3839602555
41,19882,35286.663817663815
42,19883,33726.29843304843
43,19884,33071.18502824859
44,19891,35473.85976039465
45,19892,35290.70918009811
46,19893,36185.0
47,19894,34567.54731638418
48,19901,36914.87430939227
49,19902,37577.186759581884
50,19903,37965.21572720946
51,19904,38797.25457102672
52,19911,39934.72795115333
53,19912,42378.66995073891
54,19913,41879.72720897615
55,19914,41155.520920502095
56,19921,40832.38585434174
57,19922,40822.940636042404
58,19923,40346.74682651622
59,19924,42395.30856334041
60,19931,44459.32638888889
61,19932,42207.61016949153
62,19933,47129.08823529412
63,19934,42212.32536893886
64,19941,45033.50962223806
65,19942,45047.444444444445
66,19943,44107.30656424581
67,19944,44279.51355206847
68,19951,46191.6251768034
69,19952,47841.41369472183
70,19953,46972.08888888889
71,19954,45421.7719941349
72,19961,45440.54791514265
73,19962,44590.87335285505
74,19963,46957.4494949495
75,19964,45369.78902352103
76,19971,50080.193804034585
77,19972,50325.72641509434
78,19973,49340.76784372652
79,19974,49996.1844077961
80,19981,50838.09125188537
81,19982,52494.97979041916
82,19983,53595.75297619047
83,19984,55179.33507462686
84,19991,54720.095665171895
85,19992,56963.17513267627
86,19993,55001.71937639198
87,19994,55507.72699849171
88,20001,57832.54266958425
89,20002,58181.598950524734
90,20003,55469.68077208612
91,20004,59624.27731725697
92,20011,58433.00372300819
93,20012,60652.987082066866
94,20013,61470.48114630468
95,20014,58683.27251908397
96,20021,63420.68232662192
97,20022,63093.77467972871
98,20023,61710.76990504018
99,20024,62237.544
100,20031,62978.5
101,20032,64728.96750902527
102,20033,64338.13455882353
103,20034,65550.47667638485
104,20041,65599.09492753624
105,20042,65672.49064748202
106,20043,67059.74255319149
107,20044,65623.40326009922
108,20051,69101.15145081386
109,20052,68207.88749126485
110,20053,69311.03808180535
111,20054,66125.8750877193
112,20061,72182.38648052902
113,20062,70048.78772563177
114,20063,73050.82643427742
115,20064,70230.23038156948
116,20071,74284.32667617689
117,20072,76447.74378992194
118,20073,73005.93237410072
119,20074,76365.39568345324
120,20081,77274.7472845764
121,20082,76056.64138908575
122,20083,82818.23354564756
123,20084,75031.34663865546
124,20091,83484.79056468906
125,20092,77974.49195241428
126,20093,78624.69992972593
127,20094,78167.73450704226
128,20101,77514.22873481057
129,20102,75859.28683274021
130,20103,77833.66954643629
131,20104,79294.46207865169
132,20111,76668.64772727272
133,20112,82398.35571428572
134,20113,76618.08686131387
135,20114,78326.95265841224
136,20121,77955.49714693295
137,20122,79313.87509025271
138,20123,79430.4255319149
139,20124,74328.08426966293
140,20131,78902.48554913295
141,20132,74003.15422885572
142,20133,82399.46544428774
143,20134,82295.63194933145
144,20141,89217.31339031339
145,20142,88005.03711484594
146,20143,87443.2675656494
147,20144,87595.46832740214
148,20151,93295.63630041725
149,20152,90531.28303198887
150,20153,90693.62147651007
151,20154,94451.02026554856
152,20161,92001.70639730639
153,20162,99507.49900066623
154,20163,94464.67023285085
155,20164,99645.71825162433
156,20171,101399.19522144522
157,20172,103788.85389988359
158,20173,104509.14641203704
159,20174,104858.75696055684
160,20181,105260.4100513992
161,20182,109315.45722543352
162,20183,106022.43616406701
163,20184,108067.92799070849
164,20191,110974.59720605356
165,20192,108131.59407665505
166,20193,107026.03272939801
167,20194,109071.02124183007
168,20201,115033.28863758751
169,20202,113360.97106288259
170,20203,115669.8814980436
171,20204,117141.44321490973
172,20211,111889.2559489263
173,20212,118875.37572254335
174,20213,110928.06351981351
175,20214,112996.33004067403
176,20221,119689.93345008757
177,20222,120327.80694526192
178,20223,116450.12594752187
179,20224,116290.64664723031
180,20231,120025.01304347826
