YYYYQ,POLAFF,POLREP,POLDEM,POLCRD
19802,3,5,5,5
19851,3,1,5,1
19852,3,1,5,1
20063,2,5,5,5
20064,2,5,1,5
20081,1,1,1,5
20082,2,5,1,5
20083,3,1,1,5
20084,2,1,1,5
20091,2,5,1,5
20092,2,5,1,5
20101,3,1,1,1
20102,3,1,5,1
20103,3,5,5,5
20104,3,1,1,1
20122,3,1,1,5
20123,2,1,1,5
20124,3,1,1,5
20142,3,1,1,1
20152,3,1,1,1
20162,3,1,1,1
20163,3,1,1,1
20164,3,1,1,5
20171,3,1,1,5
20172,3,1,1,1
20173,3,1,1,5
20174,3,1,1,1
20181,3,1,1,1
20182,3,1,1,5
20183,3,1,1,1
20184,3,1,1,5
20191,3,1,1,5
20192,3,1,1,1
20193,3,1,1,5
20194,3,1,1,1
20201,3,1,1,1
20202,3,1,1,5
20203,3,1,1,5
20204,3,1,1,5
20211,3,1,1,5
20212,3,1,1,5
20213,3,1,1,5
20214,3,1,1,5
20221,3,1,1,1
20222,3,1,1,1
20223,3,1,1,1
20224,3,1,1,1
