YYYYQ,POLAFF,POLREP,POLDEM,POLCRD
19802,2.0,,1.0,
19802,3.0,,,5.0
19802,2.0,,1.0,
19802,3.0,,,5.0
19802,3.0,,,5.0
19802,2.0,,1.0,
19802,3.0,,,1.0
19802,3.0,,,5.0
19802,2.0,,5.0,
19802,2.0,,5.0,
19802,1.0,5.0,,
19802,3.0,,,6.0
19802,3.0,,,5.0
19802,1.0,5.0,,
19802,2.0,,1.0,
19802,1.0,5.0,,
19802,3.0,,,6.0
19802,2.0,,5.0,
19802,3.0,,,6.0
19802,1.0,1.0,,
19802,3.0,,,5.0
19802,2.0,,5.0,
19802,3.0,,,6.0
19802,1.0,1.0,,
19802,2.0,,5.0,
19802,2.0,,5.0,
19802,1.0,5.0,,
19802,3.0,,,5.0
19802,2.0,,5.0,
19802,3.0,,,5.0
19802,1.0,1.0,,
19802,2.0,,1.0,
19802,3.0,,,6.0
19802,2.0,,5.0,
19802,3.0,,,5.0
19802,2.0,,5.0,
19802,1.0,5.0,,
19802,3.0,,,1.0
19802,2.0,,5.0,
19802,2.0,,5.0,
19802,3.0,,,6.0
19802,3.0,,,5.0
19802,1.0,5.0,,
19802,3.0,,,6.0
19802,3.0,,,1.0
19802,3.0,,,1.0
19802,2.0,,5.0,
19802,3.0,,,5.0
19802,3.0,,,6.0
19802,3.0,,,1.0
19802,3.0,,,6.0
19802,1.0,5.0,,
19802,2.0,,1.0,
19802,1.0,5.0,,
19802,3.0,,,5.0
19802,2.0,,5.0,
19802,3.0,,,5.0
19802,2.0,,5.0,
19802,3.0,,,6.0
19802,3.0,,,1.0
19802,2.0,,5.0,
19802,1.0,5.0,,
19802,3.0,,,6.0
19802,2.0,,1.0,
19802,2.0,,1.0,
19802,1.0,5.0,,
19802,3.0,,,5.0
19802,1.0,1.0,,
19802,2.0,,5.0,
19802,2.0,,5.0,
19802,2.0,,5.0,
19802,3.0,,,6.0
19802,3.0,,,5.0
19802,2.0,,1.0,
19802,3.0,,,1.0
19802,3.0,,,5.0
19802,3.0,,,5.0
19802,2.0,,5.0,
19802,2.0,,5.0,
19802,1.0,5.0,,
19802,3.0,,,1.0
19802,3.0,,,5.0
19802,2.0,,1.0,
19802,3.0,,,5.0
19802,2.0,,5.0,
19802,3.0,,,1.0
19802,2.0,,1.0,
19802,2.0,,1.0,
19802,2.0,,5.0,
19802,2.0,,5.0,
19802,3.0,,,5.0
19802,2.0,,1.0,
19802,1.0,5.0,,
19802,1.0,5.0,,
19802,3.0,,,5.0
19802,2.0,,5.0,
19802,3.0,,,1.0
19802,2.0,,5.0,
19802,3.0,,,5.0
19802,3.0,,,6.0
19802,1.0,5.0,,
19802,3.0,,,6.0
19802,1.0,1.0,,
19802,2.0,,1.0,
19802,3.0,,,1.0
19802,1.0,5.0,,
19802,3.0,,,1.0
19802,3.0,,,1.0
19802,3.0,,,5.0
19802,2.0,,5.0,
19802,1.0,5.0,,
19802,2.0,,1.0,
19802,3.0,,,5.0
19802,3.0,,,6.0
19802,3.0,,,1.0
19802,3.0,,,6.0
19802,3.0,,,6.0
19802,1.0,1.0,,
19802,3.0,,,6.0
19802,2.0,,5.0,
19802,3.0,,,5.0
19802,1.0,5.0,,
19802,2.0,,1.0,
19802,3.0,,,6.0
19802,3.0,,,5.0
19802,3.0,,,5.0
19802,3.0,,,6.0
19802,3.0,,,6.0
19802,3.0,,,1.0
19802,2.0,,5.0,
19802,2.0,,5.0,
19802,2.0,,5.0,
19802,2.0,,1.0,
19802,1.0,5.0,,
19802,2.0,,5.0,
19802,1.0,5.0,,
19802,2.0,,1.0,
19802,1.0,1.0,,
19802,1.0,5.0,,
19802,3.0,,,1.0
19802,2.0,,1.0,
19802,3.0,,,5.0
19802,1.0,5.0,,
19802,2.0,,5.0,
19802,3.0,,,6.0
19802,3.0,,,5.0
19802,2.0,,5.0,
19802,2.0,,5.0,
19802,2.0,,5.0,
19802,2.0,,1.0,
19802,1.0,1.0,,
19802,1.0,5.0,,
19802,2.0,,5.0,
19802,2.0,,1.0,
19802,1.0,5.0,,
19802,3.0,,,6.0
19802,3.0,,,5.0
