YYYYQ,HOMEAMT,INVAMT
19781,,
19782,,
19783,,
19784,,
19791,,
19792,,
19793,,
19794,,
19801,,
19802,,
19803,,
19804,,
19811,,
19812,,
19813,,
19814,,
19821,,
19822,,
19823,,
19824,,
19831,,
19832,,
19833,,
19834,,
19841,,
19842,,
19843,,
19844,,
19851,,
19852,,
19853,,
19854,,
19861,,
19862,,
19863,,
19864,,
19871,,
19872,,
19873,,
19874,,
19881,,
19882,,
19883,,
19884,,
19891,,
19892,,
19893,,
19894,,
19901,,60186.3580998782
19902,,81560.47272727273
19903,111353.17220543807,
19904,,
19911,,
19912,,
19913,,
19914,,
19921,,
19922,,
19923,,
19924,,
19931,,
19932,,
19933,,
19934,123625.5223880597,
19941,128842.06827309237,
19942,125448.37605932204,
19943,,
19944,,
19951,,
19952,,
19953,,
19954,,
19961,,
19962,,
19963,,
19964,,
19971,,
19972,133233.6322869955,
19973,133912.473347548,149495.7161016949
19974,138908.22784810126,124496.62162162163
19981,,136188.37209302327
19982,,
19983,,158106.14525139664
19984,,176366.33572710952
19991,151553.84615384616,170908.70609981514
19992,151580.65210843374,161539.81308411216
19993,,157877.04821428572
19994,,208839.2527881041
20001,,186348.09800362977
20002,,200392.06137184115
20003,,200314.609800363
20004,,195611.77644710577
20011,,226308.38926174497
20012,,224922.4612736661
20013,,207450.37878787878
20014,,199949.04214559388
20021,202130.95477386934,182213.1524590164
20022,190971.47030185006,164145.46925566343
20023,,149516.3060278207
20024,,168030.84935897434
20031,,178907.8947368421
20032,204835.13513513515,156234.94736842104
20033,,161361.8232044199
20034,222782.1856287425,143922.73901808786
20041,,159661.26302083334
20042,229373.5294117647,154501.24844720497
20043,,160338.94736842104
20044,244672.85714285713,166379.1512915129
20051,251442.20430107528,166960.54987212276
20052,268402.77777777775,165085.62653562654
20053,,187375.7130541872
20054,258305.4794520548,177783.64698646986
20061,301744.7802197802,228067.36458333334
20062,269551.4511873351,176342.60204081633
20063,,211873.54761904763
20064,306170.5128205128,230536.9310793238
20071,284609.48051948054,220623.28904428903
20072,316614.8767605634,282218.9448441247
20073,288390.3169014084,249541.9689119171
20074,308350.95652173914,263188.58895705524
20081,287369.5830357143,253213.53071895425
20082,296068.2484900777,236618.5673316708
20083,299130.8038528897,246472.8622327791
20084,275308.00884955755,195599.7016706444
20091,286182.7433628319,220503.3251231527
20092,268298.6752136752,220642.60352941178
20093,273083.00428082194,244646.76039119804
20094,272088.97502153314,256602.57843137256
20101,258228.71138570167,209944.75278121137
20102,266938.5065502183,229307.5682382134
20103,275375.3215821152,258065.43837357053
20104,278761.4671163575,291366.99882766703
20111,276179.48260869563,258689.98975672215
20112,278901.9147084421,293592.76763990265
20113,262198.8758992806,277485.89238845144
20114,260364.24242424243,287906.4413265306
20121,257084.9912739965,249043.38082901554
20122,267092.59239610966,262158.01767676766
20123,264735.9083191851,308207.6856780735
20124,252204.43292682926,278861.2403100775
20131,270330.9090909091,300454.1499330656
20132,248014.56310679612,278400.2617801047
20133,283163.748870822,356019.0298507463
20134,279526.64907651715,406117.277486911
20141,285834.23285198555,378934.5524390244
20142,296738.24884792627,387910.29106280196
20143,294160.28209934395,393757.7291169451
20144,281432.2211630124,351686.74905422446
20151,303648.60710854945,383223.21385176183
20152,318779.0,392271.5006165228
20153,323278.17652764305,340962.3418308227
20154,341780.2272727273,381353.8186157518
20161,315274.9640151515,349621.1063321386
20162,323566.6822867854,349358.50225225225
20163,311063.6442894507,318094.49001051526
20164,332081.91764705884,355116.3726899384
20171,338532.09958506224,351517.1875
20172,354989.4008264463,439525.6254826255
20173,359387.63964686997,428225.8966202783
20174,351842.0917952884,444086.3069124424
20181,371997.6432517758,459494.45741626795
20182,353247.90090834023,455346.6744402985
20183,364005.9053398058,438631.37065637065
20184,397360.33628318587,470389.99275362317
20191,389059.71896955505,435763.50230414746
20192,380143.72564302414,504222.2373205742
20193,387880.8667736758,459761.7200383509
20194,395417.51610429445,500611.85776997363
20201,381356.1942815249,482001.2368421053
20202,400141.9063270337,464120.07390917186
20203,410858.281613654,459493.4575389948
20204,428072.89107289107,535721.7015468607
20211,436002.8901734104,478269.4671741199
20212,463601.562193126,567070.6256931608
20213,445355.14539579966,507524.70753768843
20214,485381.6506410256,556057.9889807162
20221,486471.1353082466,538567.0303605313
20222,509131.2051077414,592005.3404850747
20223,493910.32840722497,530056.4593023256
20224,481844.0594059406,488363.18671799806
20231,499597.3354037267,537741.4241531665
